url,depth,status_code,issues,title_len,desc_len,h1,title
https://www.bancodebogota.com/atencion-al-cliente,1,200,missing_description,39,15,¿Necesitas ayuda?,Atención al cliente - bancodebogota.com
https://www.bancodebogota.com/alianzas/tarjeta-de-credito/movistar-alianza,1,200,missing_description,36,15,0% de interés en Movistar,Movistar alianza - bancodebogota.com
https://www.bancodebogota.com/pymes,1,404,missing_description;missing_h1;missing_canonical,30,15,,Pagina 404 - bancodebogota.com
https://www.bancodebogota.com/aliados-pyme,1,200,missing_description,32,15,Aliados Banco de Bogotá,Aliados pyme - bancodebogota.com
https://www.bancodebogota.com/alianzas,1,200,title_too_short;missing_description,28,15,Alianzas Banco de Bogotá,Alianzas - bancodebogota.com
https://www.bancodebogota.com/alianzas/tarjeta-de-credito/comprar-apple-sin-intereses,1,200,title_too_short;missing_description,25,15,Estrena iPhone 17 con 0% de interés,Apple - bancodebogota.com
https://www.bancodebogota.com/alianzas/tarjeta-de-credito/mercado-libre,1,200,missing_description,33,15,0% de interés en Mercado Libre,Mercado libre - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/instructivos,1,200,missing_description,32,15,Conoce cómo usar nuestros productos,Instructivos - bancodebogota.com
https://www.bancodebogota.com/alianzas/tarjeta-de-credito/claro,1,200,title_too_short;missing_description,25,15,0% de interés en Claro,Claro - bancodebogota.com
https://www.bancodebogota.com/alianzas/tarjeta-de-credito/decathlon,1,200,title_too_short;missing_description,29,15,0% interés en tiendas físicas Decathlon,Decathlon - bancodebogota.com
https://www.bancodebogota.com/empresas,1,200,title_too_short;missing_description,28,15,La App del Portal Conexión en Línea,Empresas - bancodebogota.com
https://www.bancodebogota.com/alianzas/tarjeta-de-credito/tigo,1,200,title_too_short;missing_description,24,15,0% de interés en Tigo,Tigo - bancodebogota.com
https://www.bancodebogota.com/alianzas/crediconvenio,1,200,missing_description,33,15,"Crediconvenio, compra y llévatelo de una",Crediconvenio - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales-de-atencion-presencial/oficinas/centro-atencion-libranza,1,200,missing_description,46,15,Centros de atención libranza,Centros atención libranzas - bancodebogota.com
https://www.bancodebogota.com/alianzas/tarjeta-de-credito,1,200,missing_description,38,15,Estas alianzas son todo lo que buscabas,tarjeta de crédito - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales,1,200,title_too_short;missing_description,27,15,Canales del Banco de Bogotá,Canales - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial,1,200,missing_description,50,15,Canales de atención presencial,Canales de atención presencial - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/oficinas/centro-atencion-libranza-especiales,1,200,title_too_long;missing_description,66,15,Centros servicios especiales,Centro atención libranzas servicios especiales - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/corresponsales-bancarios,1,200,missing_description,44,15,Corresponsales bancarios,Corresponsales bancarios - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/corresponsales-bancarios/beneficios-corresponsal,1,200,missing_description,50,15,"Por ser parte de nuestra red, tienes mucho más",Beneficios de ser corresponsal - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/oficinas/extension-de-oficina,1,200,missing_description,40,15,Extensiones de oficina,Extensión de oficina - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/corresponsales-bancarios/como-ser-corresponsal,1,200,missing_description,41,15,Conviértete en un corresponsal bancario,Como ser corresponsal - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/oficinas,1,200,title_too_short;missing_description,28,15,Oficinas Banco de Bogotá,Oficinas - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/oficinas/autobanco,1,200,title_too_short;missing_description,29,15,Autobanco,Autobanco - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/oficinas/oficina-express,1,200,missing_description,35,15,Oficina Express,Oficina express - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/oficinas/centros-especializados-vivienda,1,200,missing_description,53,15,Centros especializados de vivienda,Centro especializados de vivienda - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/oficinas/oficina-incluyente,1,200,missing_description,38,15,Oficina + incluyente,Oficina incluyente - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/oficinas/oficina-insignia,1,200,missing_description,37,15,Oficinas insignia,Oficinas insignia - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/oficinas/oficina-solo-clientes,1,200,missing_description,41,15,Oficinas solo clientes,Oficina solo clientes - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/oficinas/oficina-joven,1,200,missing_description,33,15,Oficina joven,Oficina joven - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/oficinas/oficina-recaudos-pagos,1,200,missing_description,41,15,Oficinas de recaudos y pagos,Oficina recaudos pago - bancodebogota.com
https://www.bancodebogota.com/atencion-al-cliente/canales/canales-de-atencion-presencial/oficinas/oficina-tradicional,1,200,missing_description,39,15,Oficina tradicional,Oficina tradicional - bancodebogota.com
